currency_pair,data_timestamp,db_timestamp,max,min,mean,vol,fd,_id
USDAUD,2025-05-01 21:06:30.221761,2025-05-01 21:12:31.104634,1.5614,1.5603,1.5610777777777776,0.000704641380242917,0.684652278177458,68141bff5bf39a1b89a5c8f7
EURCHF,2025-05-01 21:06:30.221761,2025-05-01 21:12:31.131345,0.9378,0.9374,0.93765,0.00042659841092087235,0.7958477508650519,68141bff5bf39a1b89a5c8f8
GBPEUR,2025-05-01 21:06:30.221761,2025-05-01 21:12:31.155205,1.1771,1.1769,1.1769722222222223,0.00016992754478296963,0.13651877133105803,68141bff5bf39a1b89a5c8f9
GBPCHF,2025-05-01 21:06:30.221761,2025-05-01 21:12:31.184496,1.1038,1.1032,1.1035777777777778,0.0005436861923843061,0.9287598944591029,68141bff5bf39a1b89a5c8fa
USDJPY,2025-05-01 21:06:30.221761,2025-05-01 21:12:31.202826,145.765,145.656,145.72814814814814,0.0007479680582310726,0.4719387755102041,68141bff5bf39a1b89a5c8fb
USDINR,2025-05-01 21:06:30.221761,2025-05-01 21:12:31.247881,84.6441,84.5514,84.59495,0.0010958100926827614,1.0,68141bff5bf39a1b89a5c8fc
USDCNY,2025-05-01 21:06:30.221761,2025-05-01 21:12:31.261775,7.2706,7.2706,7.2706,0.0,0.0,68141bff5bf39a1b89a5c8fd
USDEUR,2025-05-01 21:12:31.349628,2025-05-01 21:18:36.653871,0.8863,0.8859,0.8860303571428572,0.0004514518004663161,0.9803921568627451,68141d6c5bf39a1b89a5cb66
USDCAD,2025-05-01 21:12:31.349628,2025-05-01 21:18:36.680607,1.3841,1.3837,1.3839124999999999,0.000289035614607266,0.6798245614035088,68141d6c5bf39a1b89a5cb67
USDGBP,2025-05-01 21:12:31.349628,2025-05-01 21:18:36.703571,0.753,0.7527,0.7527821428571428,0.0003985216743603051,0.758364312267658,68141d6c5bf39a1b89a5cb68
USDCHF,2025-05-01 21:12:31.349628,2025-05-01 21:18:36.727943,0.8309,0.8302,0.8304571428571429,0.0008429092410375456,0.6277128547579299,68141d6c5bf39a1b89a5cb69
USDAUD,2025-05-01 21:12:31.349628,2025-05-01 21:18:36.742894,1.5613,1.5603,1.5608553571428572,0.0006406743555215699,0.4064748201438849,68141d6c5bf39a1b89a5cb6a
EURCHF,2025-05-01 21:12:31.349628,2025-05-01 21:18:36.760666,0.9375,0.937,0.9372142857142858,0.0005334959225668188,1.0,68141d6c5bf39a1b89a5cb6b
GBPEUR,2025-05-01 21:12:31.349628,2025-05-01 21:18:36.777911,1.177,1.1766,1.1769250000000002,0.0003398687257046591,0.5665529010238908,68141d6c5bf39a1b89a5cb6c
GBPCHF,2025-05-01 21:12:31.349628,2025-05-01 21:18:36.793925,1.1034,1.1028,1.103075,0.0005439340026742823,0.8469656992084432,68141d6c5bf39a1b89a5cb6d
USDJPY,2025-05-01 21:12:31.349628,2025-05-01 21:18:36.808704,145.66,145.531,145.59416071428572,0.0008860245449894144,0.9056122448979592,68141d6c5bf39a1b89a5cb6e
USDINR,2025-05-01 21:12:31.349628,2025-05-01 21:18:36.823532,84.6222,84.5663,84.59829821428572,0.0006607697930094852,0.3846801346801347,68141d6c5bf39a1b89a5cb6f
